question_id,norm_code,norm_title,title,article,paragraph,difficulty,family,selection_task,statement,option_a,option_b,option_c,option_d,correct_option,explanation,source_excerpt,pattern,option_length_gap,quality_score,quality_flags,verification_status,editorial_audit_status,editorial_rule_version,review_status,source_version,source_url,source_retrieved_at
EACV-TI-001,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO I. La Comunitat Valenciana,1,1,2,dato_literal,seleccionar_correcta,"Según el artículo 1 del Estatuto de Autonomía de la Comunitat Valenciana, ¿Cómo estaba históricamente organizado el pueblo valenciano?",Reino de Valencia.,País Valenciano.,Corona de Valencia.,Comunidad Valenciana.,A,El artículo 1.1 establece: «históricamente organizado como Reino de Valencia».,"El pueblo valenciano, históricamente organizado como Reino de Valencia, se constituye en Comunidad Autónoma, dentro de la unidad de la Nación española, como expresión de su identidad diferenciada como nacionalidad histórica y en el ejercicio del derecho de autogobierno que la Constitución Española reconoce a toda nacionalidad, con la denominación de Comunitat Valenciana.",pregunta_directa_con_sustitución_controlada,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; Título I vigente desde el 11/04/2006,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TI-002,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO I. La Comunitat Valenciana,1,1,3,literal_con_hueco,seleccionar_correcta,"Complete el artículo 1.1: «El pueblo valenciano, históricamente organizado como...»",Comunidad Valenciana.,Reino de Valencia.,Corona de Valencia.,País Valenciano.,B,La formulación correcta se apoya en el inciso: «históricamente organizado como Reino de Valencia».,"El pueblo valenciano, históricamente organizado como Reino de Valencia, se constituye en Comunidad Autónoma, dentro de la unidad de la Nación española, como expresión de su identidad diferenciada como nacionalidad histórica y en el ejercicio del derecho de autogobierno que la Constitución Española reconoce a toda nacionalidad, con la denominación de Comunitat Valenciana.",recuperación_literal_o_conceptual,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; Título I vigente desde el 11/04/2006,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TI-003,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO I. La Comunitat Valenciana,1,1,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 1 del Estatuto de Autonomía de la Comunitat Valenciana, señale la afirmación INCORRECTA:",El pueblo valenciano estuvo históricamente organizado como Reino de Valencia.,La Comunidad Autónoma se constituye con la denominación de Comunitat Valenciana.,El pueblo valenciano estuvo históricamente organizado como Corona de Valencia.,La Comunitat Valenciana expresa su identidad diferenciada como nacionalidad histórica.,C,La opción incorrecta altera la regla «históricamente organizado como Reino de Valencia».,"El pueblo valenciano, históricamente organizado como Reino de Valencia, se constituye en Comunidad Autónoma, dentro de la unidad de la Nación española, como expresión de su identidad diferenciada como nacionalidad histórica y en el ejercicio del derecho de autogobierno que la Constitución Española reconoce a toda nacionalidad, con la denominación de Comunitat Valenciana.",tres_afirmaciones_completas_válidas_y_una_alterada,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; Título I vigente desde el 11/04/2006,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TI-004,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO I. La Comunitat Valenciana,1,1,3,localización_normativa,seleccionar_correcta,¿En qué apartado del artículo 1 del Estatuto se establece que el pueblo valenciano estuvo históricamente organizado como Reino de Valencia.,Apartado 2.,Apartado 3.,Apartado 4.,Apartado 1.,D,"La regla se encuentra en el artículo 1, apartado 1.","El pueblo valenciano, históricamente organizado como Reino de Valencia, se constituye en Comunidad Autónoma, dentro de la unidad de la Nación española, como expresión de su identidad diferenciada como nacionalidad histórica y en el ejercicio del derecho de autogobierno que la Constitución Española reconoce a toda nacionalidad, con la denominación de Comunitat Valenciana.",localización_de_apartado_o_artículo,0,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; Título I vigente desde el 11/04/2006,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TI-005,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO I. La Comunitat Valenciana,1,1,2,denominación_oficial,seleccionar_correcta,"Según el artículo 1 del Estatuto de Autonomía de la Comunitat Valenciana, ¿Con qué denominación se constituye la Comunidad Autónoma?",Comunitat Valenciana.,Comunidad Autónoma Valenciana.,País Valenciano.,Reino de Valencia.,A,El artículo 1.1 establece: «con la denominación de Comunitat Valenciana».,"El pueblo valenciano, históricamente organizado como Reino de Valencia, se constituye en Comunidad Autónoma, dentro de la unidad de la Nación española, como expresión de su identidad diferenciada como nacionalidad histórica y en el ejercicio del derecho de autogobierno que la Constitución Española reconoce a toda nacionalidad, con la denominación de Comunitat Valenciana.",pregunta_directa_con_sustitución_controlada,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; Título I vigente desde el 11/04/2006,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TI-006,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO I. La Comunitat Valenciana,1,1,3,literal_con_hueco,seleccionar_correcta,La denominación estatutaria de la Comunidad Autónoma es:,Reino de Valencia.,Comunitat Valenciana.,País Valenciano.,Comunidad Autónoma Valenciana.,B,La formulación correcta se apoya en el inciso: «con la denominación de Comunitat Valenciana».,"El pueblo valenciano, históricamente organizado como Reino de Valencia, se constituye en Comunidad Autónoma, dentro de la unidad de la Nación española, como expresión de su identidad diferenciada como nacionalidad histórica y en el ejercicio del derecho de autogobierno que la Constitución Española reconoce a toda nacionalidad, con la denominación de Comunitat Valenciana.",recuperación_literal_o_conceptual,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; Título I vigente desde el 11/04/2006,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TI-007,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO I. La Comunitat Valenciana,1,1,3,verdadera_falsa_en_artículo,seleccionar_incorrecta,"Según el artículo 1 del Estatuto de Autonomía de la Comunitat Valenciana, señale la afirmación INCORRECTA:",La Comunidad Autónoma se constituye con la denominación de Comunitat Valenciana.,La Comunitat Valenciana expresa su identidad diferenciada como nacionalidad histórica.,La Comunidad Autónoma se constituye con la denominación oficial de Reino de Valencia.,El Estatuto es la norma institucional básica de la Comunitat Valenciana.,C,La opción incorrecta altera la regla «con la denominación de Comunitat Valenciana».,"El pueblo valenciano, históricamente organizado como Reino de Valencia, se constituye en Comunidad Autónoma, dentro de la unidad de la Nación española, como expresión de su identidad diferenciada como nacionalidad histórica y en el ejercicio del derecho de autogobierno que la Constitución Española reconoce a toda nacionalidad, con la denominación de Comunitat Valenciana.",tres_afirmaciones_completas_válidas_y_una_alterada,3,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; Título I vigente desde el 11/04/2006,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TI-008,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO I. La Comunitat Valenciana,1,1,3,localización_normativa,seleccionar_correcta,¿En qué apartado del artículo 1 del Estatuto se establece que la Comunidad Autónoma se constituye con la denominación de Comunitat Valenciana.,Apartado 2.,Apartado 3.,Apartado 4.,Apartado 1.,D,"La regla se encuentra en el artículo 1, apartado 1.","El pueblo valenciano, históricamente organizado como Reino de Valencia, se constituye en Comunidad Autónoma, dentro de la unidad de la Nación española, como expresión de su identidad diferenciada como nacionalidad histórica y en el ejercicio del derecho de autogobierno que la Constitución Española reconoce a toda nacionalidad, con la denominación de Comunitat Valenciana.",localización_de_apartado_o_artículo,0,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; Título I vigente desde el 11/04/2006,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TI-009,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO I. La Comunitat Valenciana,1,1,3,concepto_jurídico,seleccionar_correcta,"Según el artículo 1 del Estatuto de Autonomía de la Comunitat Valenciana, ¿Cómo califica el Estatuto la identidad diferenciada de la Comunitat Valenciana?",Nacionalidad histórica.,Región histórica.,Nación soberana.,Comunidad foral independiente.,A,El artículo 1.1 establece: «identidad diferenciada como nacionalidad histórica».,"El pueblo valenciano, históricamente organizado como Reino de Valencia, se constituye en Comunidad Autónoma, dentro de la unidad de la Nación española, como expresión de su identidad diferenciada como nacionalidad histórica y en el ejercicio del derecho de autogobierno que la Constitución Española reconoce a toda nacionalidad, con la denominación de Comunitat Valenciana.",pregunta_directa_con_sustitución_controlada,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; Título I vigente desde el 11/04/2006,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
EACV-TI-010,EACV,Estatuto de Autonomía de la Comunitat Valenciana,TÍTULO I. La Comunitat Valenciana,1,1,4,literal_con_hueco,seleccionar_correcta,La identidad diferenciada de la Comunitat Valenciana se expresa como:,Comunidad foral independiente.,Nacionalidad histórica.,Nación soberana.,Región histórica.,B,La formulación correcta se apoya en el inciso: «identidad diferenciada como nacionalidad histórica».,"El pueblo valenciano, históricamente organizado como Reino de Valencia, se constituye en Comunidad Autónoma, dentro de la unidad de la Nación española, como expresión de su identidad diferenciada como nacionalidad histórica y en el ejercicio del derecho de autogobierno que la Constitución Española reconoce a toda nacionalidad, con la denominación de Comunitat Valenciana.",recuperación_literal_o_conceptual,1,100,,AUTO_PASS,PASS,EACV_EDITORIAL_V2,PENDIENTE_REVISION_HUMANA,Texto consolidado BOE; última actualización general publicada el 28/12/2022; Título I vigente desde el 11/04/2006,https://www.boe.es/buscar/act.php?id=BOE-A-1982-17235,2026-07-14
